date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
Reported 21-Jan-1935,1935.0,Invalid,ISRAEL,Herzliyah,Sidny Ali,,NaN,human remains washed ahore,NaN,,Shark involvement prior to death unconfirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.01.21.a-Stowaways.pdf,,10.977598657614607,Jan
17-Jan-1935,1935.0,Invalid,AUSTRALIA,Queensland,"Seaforth River, near MacKay",,M,No injury; onlookers saw 10' shark heading for him and lifted him ashore,NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.01.02-Hoskin.pdf,,5,Jan
31-Dec-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales,Georges River at Kentucky,Splashing,F,Hands severed,N,Evening,"Tiger shark, 1.5 m [5'] ",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.01.00-Lynch.pdf,Tiger shark,13,Dec
31-Dec-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales," St. Georges River at Moorebank, near Milperra Bridge",Swimming (lead swimmer in race),M,"FATAL, left leg bitten ",Y,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.00.00-N'genaZakali.pdf,,19,Dec
23-Dec-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales,Woy Woy  on the Brisbane Waters,Taken as he dived into the water,M,FATAL,Y,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.12.28-Heyns.pdf,,14,Dec
23-Oct-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales,Woy Woy on the Brisbane Waters,Swimming & splashing,M,Leg injured,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.10.25-Mafalda.pdf,,12,Oct
09-Oct-1934,1934.0,Unprovoked,AUSTRALIA,Northern Territory,"Redcliff, Cobourg Peninsula",Bathing,F,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.10-12-Severs-horse.pdf,,38,Oct
08-Oct-1934,1934.0,Provoked,BERMUDA,Hamilton,Hamilton Parish,Fishing,M,Arm bitten by hooked shark PROVOKED INCIDENT,N,Night,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.10.00-Josiah.pdf,,43.25983025298627,Oct
22-Oct-1934,1934.0,Unprovoked,AUSTRALIA,Torres Strait,Warrior Reefs,Freediving for trochus shell (submerged),M,"FATAL, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards ",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.07.03-Bellambi.pdf,,19.727626207879585,Oct
08-Sep-1934,1934.0,Provoked,BERMUDA,Hamilton,Nine miles off Frasconi Flats,Fishing,M,Right foot bitten by shark caught & taken onboard  by Mrs. Tucker North PROVOKED INCIDENT,N,,1.5 m [5'] shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.05.09.R-Quassa.pdf,5' shark,34.47211408221358,Sep
27-Aug-1934,1934.0,Boating,ITALY,Sicily,Catania,Fishing on a boat,M,No injury to occupants,N,,"White shark, 4 m [13'] ",http://sharkattackfile.net/spreadsheets/pdf_directory/1927.04.10-NapoleonDoola.pdf,White shark,36.83166756478929,Aug
Reported 26-Aug-1934,1934.0,Invalid,ITALY / CROATIA,,Kralievica,Swimming,F,"Reported  to be FATAL and involve a 6m white shark, but found to be a false report; there was no attack",NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.04.08-Eseromi.pdf,,27.872781337332302,Aug
26-Aug-1934,1934.0,Unprovoked,AUSTRALIA,Queensland,Off Eva Island 20 miles from Cardwell,Dived into sea from launch & bitten immediately,M,"FATAL, body was not recovered",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.03.01-Pritchard.pdf,,13.008774855113302,Aug
21-Aug-1934,1934.0,Unprovoked,CROATIA,Adriatic Sea,"Susak (Rijeka, Istria)",Swimming,F,FATAL,Y,,White shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.02.14-sailor.pdf,White shark,18,Aug
05-Aug-1934,1934.0,Unprovoked,USA,Georgia,"Thunderbolt, Chatham County",Swimming,M,Lacerations to right leg,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.02.09-Gill.pdf,,11,Aug
11-Jul-1934,1934.0,Boating,AUSTRALIA,New South Wales,Cronulla,Fishing,NaN,"No injury to occupants Sharks continually followed the dinghy, and one smashed its rudder ",N,,"Blue pointer, 11' ",http://sharkattackfile.net/spreadsheets/pdf_directory/1927.02.00-MenziesBay.pdf,,41.22218238541346,Jul
  21-Jun-1934,1934.0,Provoked,AUSTRALIA,New South Wales,Off Mooloolabah,Fishing,M,Hand bitten while landing shark PROVOKED INCIDENT,N,Night,"A 6.5' ""blue-nosed shark""",http://sharkattackfile.net/spreadsheets/pdf_directory/1927.01.20-Brown.pdf,,29.927340082222035,Jun
20-Jun-1934,1934.0,Unprovoked,USA,Florida,"Melbourne, Brevard County",Standing,M,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.01.08.R-Taylor.pdf,,8,Jun
15-Apr-1934,1934.0,Unprovoked,AUSTRALIA,Queensland,"Elephant Rock, Currumbin near Southport",Body surfing,M,Leg lacerated & punctured,N,Morning,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.01.03-Allum.pdf,,34,Apr
01-Apr-1934,1934.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Grannys Pool, Winkelspruit",Swimming,M,FATAL,Y,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.00.00.b-Australia.pdf,,21.975647391418867,Apr
01-Apr-1934,1934.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Danger Pool, Winkelspruit",Swimming ,M,Right thigh lacerated,N,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1927.00.00.a-Lahou.pdf,,12,Apr
01-Apr-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales,North Steyne,Swimming in waist-deep water ,M,"FATAL, right leg lacerated",Y,Afternoon,4.3 m [14'] shark seen in vicinity,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.12.02-Norman.pdf,14' shark,15,Apr
12-Mar-1934,1934.0,Unprovoked,AUSTRALIA,New South Wales,"Dee Why, north of Queenscliff ",Swimming in hip-deep water,M,"FATAL, leg & buttocks removed ",Y,Afternoon,4 m [13'] shark seen in vicinity,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.11.17-Noma.pdf,13' shark,17,Mar
Mar-1934,1934.0,Provoked,AUSTRALIA,New South Wales,Cronulla,Fishing ,NaN,"No injury to occupants, hooked shark, snapped at rudder & then attacked boat PROVOKED INCIDENT",N,,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley",http://sharkattackfile.net/spreadsheets/pdf_directory/1926.10.29.R-RokuPoint.pdf,Mako shark,48.49866967076213,Mar
24-Feb-1934,1934.0,Unprovoked,AUSTRALIA,Torres Strait,Adolphus Channel,Splashing in water ,M,"Lacerated knee & foot, deep puncture wounds",N,Afternoon,3.4 m [11']  tiger shark & a 5' shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1926.10.23.b-Webster.pdf,5' shark,31.111512289748493,Feb
